날짜,위치,업종,매출
201905,전국,자동차 부품 및 정비,722601
201906,전국,자동차 부품 및 정비,686956
201907,전국,자동차 부품 및 정비,698826
201908,전국,자동차 부품 및 정비,739358
201909,전국,자동차 부품 및 정비,640324
201910,전국,자동차 부품 및 정비,727211
201911,전국,자동차 부품 및 정비,752460
201912,전국,자동차 부품 및 정비,730607
202001,전국,자동차 부품 및 정비,635148
202002,전국,자동차 부품 및 정비,601442
202003,전국,자동차 부품 및 정비,610146
202004,전국,자동차 부품 및 정비,645073
201901,전국,여행/교통,1247162
201902,전국,여행/교통,1047980
201903,전국,여행/교통,1110523
201904,전국,여행/교통,1168304
201905,전국,여행/교통,1188161
201906,전국,여행/교통,1120378
201907,전국,여행/교통,1244302
201908,전국,여행/교통,1141198
201909,전국,여행/교통,1016303
201910,전국,여행/교통,1147293
201911,전국,여행/교통,1162818
201912,전국,여행/교통,1237780
202001,전국,여행/교통,1167049
202002,전국,여행/교통,536930
202003,전국,여행/교통,254144
202004,전국,여행/교통,387608
201901,전국,여행사/자동차임대,172400
201902,전국,여행사/자동차임대,116224
201903,전국,여행사/자동차임대,119684
201904,전국,여행사/자동차임대,121724
201905,전국,여행사/자동차임대,130416
201906,전국,여행사/자동차임대,121937
201907,전국,여행사/자동차임대,151500
201908,전국,여행사/자동차임대,119734
201909,전국,여행사/자동차임대,116155
201910,전국,여행사/자동차임대,116019
201911,전국,여행사/자동차임대,113368
201912,전국,여행사/자동차임대,132464
202001,전국,여행사/자동차임대,122484
202002,전국,여행사/자동차임대,30993
202003,전국,여행사/자동차임대,22522
202004,전국,여행사/자동차임대,27109
201901,전국,항공사,503956
201902,전국,항공사,423982
201903,전국,항공사,443476
201904,전국,항공사,445981
201905,전국,항공사,447640
201906,전국,항공사,419248
201907,전국,항공사,471606
201908,전국,항공사,361569
201909,전국,항공사,337016
201910,전국,항공사,399623
201911,전국,항공사,399112
201912,전국,항공사,447127
202001,전국,항공사,424940
202002,전국,항공사,53275
202003,전국,항공사,-103749
202004,전국,항공사,-34408
201901,전국,대중교통,570806
201902,전국,대중교통,507773
201903,전국,대중교통,547363
201904,전국,대중교통,600598
201905,전국,대중교통,610105
201906,전국,대중교통,579192
201907,전국,대중교통,621196
201908,전국,대중교통,659895
201909,전국,대중교통,563133
201910,전국,대중교통,631651
201911,전국,대중교통,650339
201912,전국,대중교통,658188
202001,전국,대중교통,619625
202002,전국,대중교통,452663
202003,전국,대중교통,335371
202004,전국,대중교통,394906
201901,전국,오락/문화,1190510
201902,전국,오락/문화,1101948
201903,전국,오락/문화,1450682
201904,전국,오락/문화,1369465
201905,전국,오락/문화,1497833
201906,전국,오락/문화,1405616
201907,전국,오락/문화,1386808
201908,전국,오락/문화,1367256
201909,전국,오락/문화,1299761
201910,전국,오락/문화,1471202
201911,전국,오락/문화,1413284
201912,전국,오락/문화,1341593
202001,전국,오락/문화,1186159
202002,전국,오락/문화,973377
202003,전국,오락/문화,968773
202004,전국,오락/문화,1139445
201901,전국,스포츠/오락/여가,893539
201902,전국,스포츠/오락/여가,836700
201903,전국,스포츠/오락/여가,1071445
201904,전국,스포츠/오락/여가,1091049
201905,전국,스포츠/오락/여가,1217797
201906,전국,스포츠/오락/여가,1137907
201907,전국,스포츠/오락/여가,1098284
201908,전국,스포츠/오락/여가,1083423
201909,전국,스포츠/오락/여가,1022749
201910,전국,스포츠/오락/여가,1203418
201911,전국,스포츠/오락/여가,1139812
201912,전국,스포츠/오락/여가,1034784
202001,전국,스포츠/오락/여가,898318
202002,전국,스포츠/오락/여가,716726
202003,전국,스포츠/오락/여가,724717
202004,전국,스포츠/오락/여가,886853
201901,전국,서적/문구,296970
201902,전국,서적/문구,265248
201903,전국,서적/문구,379237
201904,전국,서적/문구,278417
201905,전국,서적/문구,280036
201906,전국,서적/문구,267709
201907,전국,서적/문구,288524
201908,전국,서적/문구,283832
201909,전국,서적/문구,277012
201910,전국,서적/문구,267784
201911,전국,서적/문구,273472
201912,전국,서적/문구,306808
202001,전국,서적/문구,287841
202002,전국,서적/문구,256650
202003,전국,서적/문구,244056
202004,전국,서적/문구,252593
201901,전국,교육,1138526
201902,전국,교육,1074595
201903,전국,교육,1200939
201904,전국,교육,991952
201905,전국,교육,1134549
201906,전국,교육,1098704
201907,전국,교육,1160300
201908,전국,교육,1260614
201909,전국,교육,1065444
201910,전국,교육,1080319
201911,전국,교육,1097669
201912,전국,교육,1107031
202001,전국,교육,1125630
202002,전국,교육,1044947
202003,전국,교육,639454
202004,전국,교육,785312
201901,전국,숙박/음식,5139064
201902,전국,숙박/음식,4475650
201903,전국,숙박/음식,5163005
